Gene ID	Gene Symbol	Label IDs	Label Names
PA25374	BLVRB	PA166104823;PA166160718	Annotation of EMA Label for methylene blue and BLVRB, CYB5R3, G6PD;Annotation of PMDA Label for methylene blue and BLVRB, G6PD
PA25408	BRAF	PA166182928;PA166182941;PA166119826;PA166182948;PA166273302;PA166284681;PA166129450;PA166114482;PA166163429;PA166179870;PA166160046;PA166114912;PA166179878;PA166278121;PA166160121;PA166170932;PA166115365;PA166104858;PA166127656;PA166284542;PA166284741;PA166284661;PA166127722;PA166127728;PA166160851	Annotation of EMA Label for binimetinib and BRAF;Annotation of EMA Label for cobimetinib and BRAF;Annotation of EMA Label for dabrafenib and BRAF;Annotation of EMA Label for encorafenib and BRAF;Annotation of EMA Label for nivolumab and BRAF;Annotation of EMA Label for pembrolizumab and BRAF;Annotation of EMA Label for trametinib and BRAF;Annotation of EMA Label for vemurafenib and BRAF;Annotation of FDA Label for atezolizumab and ALK, BRAF, CD274, EGFR;Annotation of FDA Label for binimetinib and BRAF;Annotation of FDA Label for cobimetinib and BRAF;Annotation of FDA Label for dabrafenib and BRAF;Annotation of FDA Label for encorafenib and BRAF;Annotation of FDA Label for nivolumab / relatlimab and BRAF, CD274, LAG3;Annotation of FDA Label for nivolumab and BRAF, ERBB2;Annotation of FDA Label for pembrolizumab and BRAF;Annotation of FDA Label for trametinib and BRAF;Annotation of FDA Label for vemurafenib and BRAF;Annotation of HCSC Label for dabrafenib and BRAF;Annotation of HCSC Label for encorafenib and BRAF;Annotation of HCSC Label for nivolumab and BRAF;Annotation of HCSC Label for pembrolizumab and BRAF;Annotation of HCSC Label for trametinib and BRAF;Annotation of HCSC Label for vemurafenib and BRAF;Annotation of PMDA Label for vemurafenib and BRAF
PA25411	BRCA1	PA166273321;PA166183243;PA166183423;PA166183425;PA166169920;PA166159964;PA166163419;PA166182742;PA166283161;PA166282882	Annotation of EMA Label for niraparib and BRCA1, BRCA2;Annotation of EMA Label for olaparib and BRCA1, BRCA2, ERBB2;Annotation of EMA Label for rucaparib and BRCA1, BRCA2;Annotation of EMA Label for talazoparib and BRCA1, BRCA2, ERBB2;Annotation of FDA Label for niraparib and BRCA1, BRCA2;Annotation of FDA Label for olaparib and BRCA1, BRCA2, ERBB2;Annotation of FDA Label for rucaparib and BRCA1, BRCA2;Annotation of FDA Label for talazoparib and BRCA1, BRCA2;Annotation of HCSC Label for niraparib and BRCA1, BRCA2;Annotation of HCSC Label for olaparib and BRCA1, BRCA2, ERBB2
PA25412	BRCA2	PA166273321;PA166183243;PA166183423;PA166183425;PA166169920;PA166159964;PA166163419;PA166182742;PA166283161;PA166282882	Annotation of EMA Label for niraparib and BRCA1, BRCA2;Annotation of EMA Label for olaparib and BRCA1, BRCA2, ERBB2;Annotation of EMA Label for rucaparib and BRCA1, BRCA2;Annotation of EMA Label for talazoparib and BRCA1, BRCA2, ERBB2;Annotation of FDA Label for niraparib and BRCA1, BRCA2;Annotation of FDA Label for olaparib and BRCA1, BRCA2, ERBB2;Annotation of FDA Label for rucaparib and BRCA1, BRCA2;Annotation of FDA Label for talazoparib and BRCA1, BRCA2;Annotation of HCSC Label for niraparib and BRCA1, BRCA2;Annotation of HCSC Label for olaparib and BRCA1, BRCA2, ERBB2
PA25432	BSCL2	PA166273381	Annotation of EMA Label for metreleptin and AGPAT2, BSCL2, LEP, LMNB2
PA85	CACNA1S	PA166129515;PA166169912;PA166129517;PA166129519;PA166122970;PA166129516;PA166129518;PA166129520	Annotation of FDA Label for desflurane and CACNA1S, RYR1;Annotation of FDA Label for enflurane and CACNA1S, RYR1;Annotation of FDA Label for isoflurane and CACNA1S, RYR1;Annotation of FDA Label for sevoflurane and CACNA1S, RYR1;Annotation of FDA Label for succinylcholine and BCHE, CACNA1S, RYR1;Annotation of HCSC Label for desflurane and CACNA1S, RYR1;Annotation of HCSC Label for isoflurane and CACNA1S, RYR1;Annotation of HCSC Label for sevoflurane and CACNA1S, RYR1
PA26097	CASR	PA166160040	Annotation of FDA Label for Parathyroid Hormones And Analogues and CASR
PA26115	CBL	PA166278181	Annotation of FDA Label for azacitidine and CBL, KRAS, NRAS, PTPN11
PA26123	CBS	PA166293941;PA166293301;PA166293961	Annotation of EMA Label for betaine and CBS, MMADHC, MTHFR;Annotation of FDA Label for betaine and CBS, MMADHC, MTHFR;Annotation of HCSC Label for betaine and CBS, MMADHC, MTHFR
PA26170	CCR5	PA166104803	Annotation of FDA Label for maraviroc and CCR5
PA26192	CD19	PA166159963	Annotation of FDA Label for blinatumomab and ABL1, BCR, CD19
PA134915280	CD274	PA166182926;PA166278421;PA166294041;PA166273521;PA166273301;PA166183249;PA166163429;PA166169877;PA166251421;PA166169884;PA166191581;PA166278121;PA166191561;PA166160009;PA166296361;PA166295581;PA166229941;PA166278442;PA166294083;PA166283821;PA166284721;PA166284642	Annotation of EMA Label for atezolizumab and CD274;Annotation of EMA Label for cemiplimab-rwlc and ALK, CD274, EGFR, ROS1;Annotation of EMA Label for durvalumab and CD274;Annotation of EMA Label for ipilimumab and ALK, CD274, EGFR;Annotation of EMA Label for nivolumab and ALK, CD274, EGFR, ERBB2;Annotation of EMA Label for pembrolizumab and ALK, CD274, EGFR, ERBB2;Annotation of FDA Label for atezolizumab and ALK, BRAF, CD274, EGFR;Annotation of FDA Label for avelumab and CD274;Annotation of FDA Label for cemiplimab-rwlc and ALK, CD274, EGFR, ROS1;Annotation of FDA Label for durvalumab and ALK, CD274, EGFR, PDCD1;Annotation of FDA Label for ipilimumab and ALK, CD274, EGFR;Annotation of FDA Label for nivolumab / relatlimab and BRAF, CD274, LAG3;Annotation of FDA Label for nivolumab and ALK, CD274, EGFR;Annotation of FDA Label for pembrolizumab and ALK, CD274, EGFR, ERBB2;Annotation of FDA Label for pemetrexed and CD274;Annotation of FDA Label for tremelimumab and CD274;Annotation of HCSC Label for atezolizumab and ALK, CD274, EGFR;Annotation of HCSC Label for cemiplimab-rwlc and ALK, CD274, EGFR, ROS1;Annotation of HCSC Label for durvalumab and CD274;Annotation of HCSC Label for ipilimumab and ALK, CD274, EGFR;Annotation of HCSC Label for nivolumab and ALK, CD274, EGFR, ERBB2;Annotation of HCSC Label for pembrolizumab and ALK, CD274, EGFR, ERBB2
PA26210	CD33	PA166283922;PA166224361;PA166284282	Annotation of EMA Label for gemtuzumab ozogamicin and CD33;Annotation of FDA Label for gemtuzumab ozogamicin and CD33;Annotation of HCSC Label for gemtuzumab ozogamicin and CD33
PA26214	CD38	PA166273481	Annotation of EMA Label for isatuximab and CD38
PA36218	CDKL5	PA166278321	Annotation of FDA Label for ganaxolone and CDKL5
PA109	CFTR	PA166283001;PA166182953;PA166182954;PA166104928;PA166190101;PA166152939;PA166179847;PA166104890;PA166283021;PA166127684	Annotation of EMA Label for elexacaftor / tezacaftor / ivacaftor and CFTR;Annotation of EMA Label for ivacaftor / lumacaftor and CFTR;Annotation of EMA Label for ivacaftor / tezacaftor and CFTR;Annotation of EMA Label for ivacaftor and CFTR;Annotation of FDA Label for elexacaftor / tezacaftor / ivacaftor and CFTR;Annotation of FDA Label for ivacaftor / lumacaftor and CFTR;Annotation of FDA Label for ivacaftor / tezacaftor and CFTR;Annotation of FDA Label for ivacaftor and CFTR;Annotation of HCSC Label for elexacaftor / tezacaftor / ivacaftor and CFTR;Annotation of HCSC Label for ivacaftor and CFTR
PA26487	CHRNA1	PA166224221;PA166268901;PA166277881	Annotation of FDA Label for eculizumab and AQP4, CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE;Annotation of FDA Label for efgartigimod alfa and CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE;Annotation of FDA Label for ravulizumab and CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE
PA113	CHRNA3	PA166224221;PA166268901;PA166277881	Annotation of FDA Label for eculizumab and AQP4, CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE;Annotation of FDA Label for efgartigimod alfa and CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE;Annotation of FDA Label for ravulizumab and CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE
PA26490	CHRNA4	PA166224221;PA166268901;PA166277881	Annotation of FDA Label for eculizumab and AQP4, CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE;Annotation of FDA Label for efgartigimod alfa and CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE;Annotation of FDA Label for ravulizumab and CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE
PA26491	CHRNA5	PA166224221;PA166268901;PA166277881	Annotation of FDA Label for eculizumab and AQP4, CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE;Annotation of FDA Label for efgartigimod alfa and CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE;Annotation of FDA Label for ravulizumab and CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE
PA26492	CHRNA6	PA166224221;PA166268901;PA166277881	Annotation of FDA Label for eculizumab and AQP4, CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE;Annotation of FDA Label for efgartigimod alfa and CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE;Annotation of FDA Label for ravulizumab and CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE
PA114	CHRNA7	PA166224221;PA166268901;PA166277881	Annotation of FDA Label for eculizumab and AQP4, CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE;Annotation of FDA Label for efgartigimod alfa and CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE;Annotation of FDA Label for ravulizumab and CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE
PA26494	CHRNB1	PA166224221;PA166268901;PA166277881	Annotation of FDA Label for eculizumab and AQP4, CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE;Annotation of FDA Label for efgartigimod alfa and CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE;Annotation of FDA Label for ravulizumab and CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE
PA26498	CHRNE	PA166224221;PA166268901;PA166277881	Annotation of FDA Label for eculizumab and AQP4, CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE;Annotation of FDA Label for efgartigimod alfa and CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE;Annotation of FDA Label for ravulizumab and CHRNA1, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNB1, CHRNE
PA134979958	CPOX	PA166283781;PA166190701;PA166283802	Annotation of EMA Label for givosiran and CPOX, HMBS, PPOX;Annotation of FDA Label for givosiran and CPOX, HMBS, PPOX;Annotation of HCSC Label for givosiran and CPOX, HMBS, PPOX
PA26840	CPS1	PA166269701;PA166114381;PA166269101;PA166104794;PA166114317;PA166283881;PA166127712;PA166123552	Annotation of EMA Label for glycerol phenylbutyrate and ARG1, ASL, ASS1, CPS1, OTC;Annotation of EMA Label for sodium phenylbutyrate and ASS1, CPS1, OTC;Annotation of FDA Label for glycerol phenylbutyrate and ASS1, CPS1, OTC;Annotation of FDA Label for sodium benzoate / sodium phenylacetate and ARG1, ASL, ASS1, CPS1, NAGS, OTC;Annotation of FDA Label for sodium phenylbutyrate and ASS1, CPS1, OTC;Annotation of HCSC Label for glycerol phenylbutyrate and ARG1, ASL, ASS1, CPS1, OTC;Annotation of HCSC Label for sodium phenylbutyrate and ASS1, CPS1, OTC;Annotation of PMDA Label for valproic acid and CPS1, OTC
PA27006	CTLA4	PA166273501	Annotation of EMA Label for ipilimumab and CTLA4, HLA-A
PA134979668	CYB5R1	PA166163430;PA166163431;PA166105195;PA166170934;PA166104783;PA166127702	Annotation of FDA Label for isosorbide dinitrate and CYB5R1, CYB5R2, CYB5R3, CYB5R4;Annotation of FDA Label for isosorbide mononitrate and CYB5R1, CYB5R2, CYB5R3, CYB5R4;Annotation of FDA Label for metoclopramide and CYB5R1, CYB5R2, CYB5R3, CYB5R4, G6PD;Annotation of FDA Label for primaquine and CYB5R1, CYB5R2, CYB5R3, CYB5R4;Annotation of FDA Label for rasburicase and CYB5R1, CYB5R2, CYB5R3, CYB5R4;Annotation of HCSC Label for primaquine and CYB5R1, CYB5R2, CYB5R3, CYB5R4, G6PD
PA142672060	CYB5R2	PA166163430;PA166163431;PA166105195;PA166170934;PA166104783;PA166127702	Annotation of FDA Label for isosorbide dinitrate and CYB5R1, CYB5R2, CYB5R3, CYB5R4;Annotation of FDA Label for isosorbide mononitrate and CYB5R1, CYB5R2, CYB5R3, CYB5R4;Annotation of FDA Label for metoclopramide and CYB5R1, CYB5R2, CYB5R3, CYB5R4, G6PD;Annotation of FDA Label for primaquine and CYB5R1, CYB5R2, CYB5R3, CYB5R4;Annotation of FDA Label for rasburicase and CYB5R1, CYB5R2, CYB5R3, CYB5R4;Annotation of HCSC Label for primaquine and CYB5R1, CYB5R2, CYB5R3, CYB5R4, G6PD
PA27331	CYB5R3	PA166278381;PA166104823;PA166182741;PA166235441;PA166182746;PA166182759;PA166104845;PA166163430;PA166163431;PA166105178;PA166182737;PA166182751;PA166105195;PA166184637;PA166170934;PA166104783;PA166182728;PA166115362;PA166278401;PA166127702	Annotation of EMA Label for bupivacaine and CYB5R3, G6PD;Annotation of EMA Label for methylene blue and BLVRB, CYB5R3, G6PD;Annotation of FDA Label for articaine / epinephrine and CYB5R3, G6PD;Annotation of FDA Label for bupivacaine and CYB5R3, G6PD;Annotation of FDA Label for ceftriaxone and CYB5R3, G6PD;Annotation of FDA Label for chloroprocaine and CYB5R3, G6PD;Annotation of FDA Label for dapsone and CYB5R3, G6PD;Annotation of FDA Label for isosorbide dinitrate and CYB5R1, CYB5R2, CYB5R3, CYB5R4;Annotation of FDA Label for isosorbide mononitrate and CYB5R1, CYB5R2, CYB5R3, CYB5R4;Annotation of FDA Label for lidocaine / prilocaine and CYB5R3, G6PD;Annotation of FDA Label for lidocaine and tetracaine and CYB5R3, G6PD;Annotation of FDA Label for mepivacaine and CYB5R3, G6PD;Annotation of FDA Label for metoclopramide and CYB5R1, CYB5R2, CYB5R3, CYB5R4, G6PD;Annotation of FDA Label for oxymetazoline and tetracaine and BCHE, CYB5R3, G6PD;Annotation of FDA Label for primaquine and CYB5R1, CYB5R2, CYB5R3, CYB5R4;Annotation of FDA Label for rasburicase and CYB5R1, CYB5R2, CYB5R3, CYB5R4;Annotation of FDA Label for ropivacaine and CYB5R3, G6PD;Annotation of FDA Label for sodium nitrite and CYB5R3, G6PD;Annotation of HCSC Label for bupivacaine, meloxicam and CYB5R3, G6PD;Annotation of HCSC Label for primaquine and CYB5R1, CYB5R2, CYB5R3, CYB5R4, G6PD
PA134904907	CYB5R4	PA166163430;PA166163431;PA166105195;PA166170934;PA166104783;PA166127702	Annotation of FDA Label for isosorbide dinitrate and CYB5R1, CYB5R2, CYB5R3, CYB5R4;Annotation of FDA Label for isosorbide mononitrate and CYB5R1, CYB5R2, CYB5R3, CYB5R4;Annotation of FDA Label for metoclopramide and CYB5R1, CYB5R2, CYB5R3, CYB5R4, G6PD;Annotation of FDA Label for primaquine and CYB5R1, CYB5R2, CYB5R3, CYB5R4;Annotation of FDA Label for rasburicase and CYB5R1, CYB5R2, CYB5R3, CYB5R4;Annotation of HCSC Label for primaquine and CYB5R1, CYB5R2, CYB5R3, CYB5R4, G6PD
PA27093	CYP1A2	PA166104915;PA166183424;PA166170935	Annotation of EMA Label for olanzapine and CYP1A2, CYP2D6;Annotation of EMA Label for rucaparib and CYP1A2, CYP2D6;Annotation of FDA Label for rucaparib and CYP1A2, CYP2D6
PA135	CYP27A1	PA166160056	Annotation of FDA Label for cholic acid and AKR1D1, AMACR, CYP27A1, CYP7A1, DHCR7, HSD3B2
PA121	CYP2A6	PA166160717	Annotation of PMDA Label for letrozole and CYP2A6
